sessionID,duration
ID01_Session02,00:00:00.125000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:31.281000
ID01_Session02,00:00:00.110000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:01
ID01_Session02,00:00:38.109000
ID01_Session02,00:00:00.125000
ID01_Session02,00:00:00.157000
ID01_Session02,00:00:07.766000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:00.110000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:20.063000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:02.109000
ID01_Session02,00:00:00.125000
ID01_Session02,00:00:02.281000
ID01_Session02,00:00:00.094000
ID01_Session03,00:00:00.062000
ID01_Session03,00:00:00.625000
ID01_Session03,00:00:09.875000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:00.078000
ID01_Session03,00:00:26.140000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:16.921000
ID01_Session03,00:00:00.359000
ID01_Session03,00:00:00.093000
ID01_Session03,00:00:47.014000
ID01_Session03,00:00:11.250000
ID01_Session03,00:00:00.109000
ID01_Session03,00:00:10.469000
ID01_Session03,00:00:00.125000
ID01_Session03,00:00:03.343000
ID01_Session03,00:00:00.079000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:05.609000
ID01_Session03,00:00:00.516000
ID01_Session03,00:00:00.062000
ID01_Session03,00:00:00.875000
ID01_Session03,00:00:00.093000
ID01_Session03,00:00:00.500000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:56.905000
ID01_Session03,00:00:00.063000
ID01_Session03,00:00:00.109000
ID01_Session03,00:00:07.406000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:08.765000
ID01_Session03,00:00:00.110000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:02.453000
ID01_Session03,00:00:00.062000
ID01_Session03,00:00:00.109000
ID01_Session03,00:00:03.874000
ID01_Session03,00:00:00.125000
ID01_Session03,00:00:00.078000
ID01_Session03,00:00:00.172000
ID01_Session03,00:00:12.718000
ID01_Session03,00:00:00.141000
ID01_Session03,00:00:38.765000
ID01_Session03,00:00:27.671000
ID01_Session03,00:00:06.719000
ID01_Session03,00:00:00.062000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:46.687000
ID01_Session03,00:00:00.093000
ID01_Session03,00:00:07.813000
ID01_Session03,00:00:00.093000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:16.312000
ID01_Session03,00:00:00.125000
ID01_Session03,00:00:13.906000
ID01_Session03,00:00:00.172000
ID01_Session03,00:00:00.625000
ID01_Session03,00:00:00.125000
ID01_Session03,00:00:22.640000
ID01_Session03,00:00:57.312000
ID01_Session03,00:00:03.515000
ID01_Session03,00:00:00.125000
ID01_Session03,00:00:00.047000
ID01_Session03,00:00:04.235000
ID01_Session03,00:00:01.187000
ID01_Session03,00:00:00.078000
ID01_Session03,00:00:07.078000
ID01_Session03,00:00:00.125000
ID01_Session03,00:00:36.296000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:00.125000
ID01_Session03,00:00:40.327000
ID01_Session03,00:00:00.140000
ID01_Session03,00:00:02.313000
ID01_Session03,00:00:00.125000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:00.063000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:39.639000
ID01_Session03,00:00:02.781000
ID01_Session03,00:00:00.062000
ID01_Session03,00:00:00.516000
ID01_Session03,00:00:00.078000
ID01_Session03,00:00:27.796000
ID01_Session03,00:00:56.046000
ID01_Session03,00:00:13.250000
ID01_Session03,00:00:00.156000
ID01_Session03,00:00:12.578000
ID01_Session03,00:00:00.110000
ID01_Session03,00:00:00.109000
ID01_Session03,00:00:58.187000
ID01_Session03,00:00:00.110000
ID01_Session03,00:00:00.078000
ID01_Session03,00:00:48.312000
ID01_Session03,00:00:00.109000
ID01_Session03,00:00:00.093000
ID01_Session03,00:00:00.062000
ID01_Session03,00:00:00.094000
ID01_Session03,00:00:08.453000
ID01_Session03,00:00:00.062000
ID01_Session03,00:00:00.359000
ID01_Session03,00:00:00.110000
ID01_Session03,00:00:27.343000
ID01_Session03,00:00:00.078000
ID01_Session03,00:00:00.125000
ID01_Session03,00:00:05.765000
ID01_Session03,00:00:00.735000
ID01_Session03,00:00:00.046000
ID01_Session03,00:00:00.078000
ID01_Session03,00:00:34.734000
ID01_Session04,00:00:00.156000
ID01_Session04,00:00:00.109000
ID01_Session04,00:00:05.233000
ID01_Session04,00:00:00.141000
ID01_Session04,00:00:07.107000
ID01_Session04,00:00:00.172000
ID01_Session04,00:00:25.868000
ID01_Session04,00:00:00.203000
ID01_Session04,00:00:00.624000
ID01_Session04,00:00:00.641000
ID01_Session04,00:00:00.125000
ID01_Session04,00:00:00.485000
ID01_Session04,00:00:00.156000
ID01_Session04,00:00:24.650000
ID01_Session04,00:00:00.749000
ID01_Session04,00:00:00.140000
ID01_Session04,00:00:10.950000
ID01_Session04,00:00:50.851000
ID01_Session04,00:00:01.109000
ID01_Session04,00:00:00.125000
ID01_Session04,00:00:27.872000
ID01_Session04,00:00:00.125000
ID01_Session04,00:00:04.547000
ID01_Session04,00:00:15.905000
ID01_Session04,00:00:10.124000
ID01_Session04,00:00:00.125000
ID01_Session04,00:00:00.172000
ID01_Session04,00:00:00.172000
ID01_Session04,00:00:10.280000
