id,userID,sessionID,actionTaken,actionTime,duration,originalRECNO,application,timeline,Window
119,ID01,ID01_Session01,Left mouse button pressed,16:17:06.009,00:00:00.921000,206,firefox.exe,00:23:42.179000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
120,ID01,ID01_Session01,Left mouse button pressed,16:17:07.071,00:00:00.078000,208,firefox.exe,00:23:43.241000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
121,ID01,ID01_Session01,Left mouse button pressed,16:17:08.149,00:00:01.266000,210,firefox.exe,00:23:44.319000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
122,ID01,ID01_Session01,Left mouse button pressed,16:17:09.618,00:00:00.094000,212,firefox.exe,00:23:45.788000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
123,ID01,ID01_Session01,Mouse wheel,16:17:10.665,00:00:49.343000,214,firefox.exe,00:23:46.835000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
124,ID01,ID01_Session01,Mouse wheel,16:18:01.868,00:00:18.375000,216,firefox.exe,00:24:38.038000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
125,ID01,ID01_Session01,Left mouse button pressed,16:18:20.243,00:00:00.312000,218,firefox.exe,00:24:56.413000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
126,ID01,ID01_Session01,Left mouse button pressed,16:18:20.727,00:00:00.094000,220,firefox.exe,00:24:56.897000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
127,ID01,ID01_Session01,Mouse wheel,16:18:21.243,00:00:00.968000,222,firefox.exe,00:24:57.413000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
128,ID01,ID01_Session01,Left mouse button pressed,16:18:22.211,00:00:00.375000,224,firefox.exe,00:24:58.381000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
129,ID01,ID01_Session01,Left mouse button pressed,16:18:22.758,00:00:00.094000,226,firefox.exe,00:24:58.928000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
130,ID01,ID01_Session01,Left mouse button pressed,16:18:23.352,00:00:00.390000,228,firefox.exe,00:24:59.522000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
131,ID01,ID01_Session01,Left mouse button pressed,16:18:23.914,00:00:00.094000,230,firefox.exe,00:25:00.084000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
132,ID01,ID01_Session01,Mouse wheel,16:18:24.508,00:00:02.047000,232,firefox.exe,00:25:00.678000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
133,ID01,ID01_Session01,Left mouse button pressed,16:18:26.555,00:00:00.672000,234,firefox.exe,00:25:02.725000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
134,ID01,ID01_Session01,Left mouse button pressed,16:18:27.367,00:00:00.110000,236,firefox.exe,00:25:03.537000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
135,ID01,ID01_Session01,Left mouse button pressed,16:18:28.508,00:00:00.844000,238,firefox.exe,00:25:04.678000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
136,ID01,ID01_Session01,Left mouse button pressed,16:18:29.508,00:00:00.094000,240,firefox.exe,00:25:05.678000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
137,ID01,ID01_Session01,Left mouse button pressed,16:18:30.039,00:00:00.469000,242,firefox.exe,00:25:06.209000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
138,ID01,ID01_Session01,Left mouse button pressed,16:18:30.649,00:00:00.062000,244,firefox.exe,00:25:06.819000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
139,ID01,ID01_Session01,Left mouse button pressed,16:18:31.367,00:00:00.797000,246,firefox.exe,00:25:07.537000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
140,ID01,ID01_Session01,Left mouse button pressed,16:18:32.336,00:00:00.125000,248,firefox.exe,00:25:08.506000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
141,ID01,ID01_Session01,Left mouse button pressed,16:18:35.102,00:00:00.422000,250,firefox.exe,00:25:11.272000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
142,ID01,ID01_Session01,Left mouse button pressed,16:18:35.711,00:00:00.094000,252,firefox.exe,00:25:11.881000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
143,ID01,ID01_Session01,Mouse wheel,16:18:37.086,00:00:01.735000,254,firefox.exe,00:25:13.256000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
144,ID01,ID01_Session01,Left mouse button pressed,16:18:38.821,00:00:00.765000,256,firefox.exe,00:25:14.991000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
145,ID01,ID01_Session01,Left mouse button pressed,16:18:39.742,00:00:00.110000,258,firefox.exe,00:25:15.912000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
146,ID01,ID01_Session01,Mouse wheel,16:18:41.180,00:00:00.906000,260,firefox.exe,00:25:17.350000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
147,ID01,ID01_Session01,Left mouse button pressed,16:18:42.086,00:00:01.266000,262,firefox.exe,00:25:18.256000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
148,ID01,ID01_Session01,Left mouse button pressed,16:18:43.539,00:00:00.094000,264,firefox.exe,00:25:19.709000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
149,ID01,ID01_Session01,Left mouse button pressed,16:18:44.727,00:00:00.906000,266,firefox.exe,00:25:20.897000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
