"","userID","sessionID","actionTaken","timelineMSEC","durationMSEC","X","Y","Rel__dist_","Total_dist_"
"114","ID01","ID01_Session02","Left mouse button pressed",128452,62,"544","750","464.54","1322.54"
"115","ID01","ID01_Session02","Left mouse button pressed",137077,109,"601","655","88.41","779.95"
"116","ID01","ID01_Session02","Left mouse button pressed",149108,125,"929","583","321.12","652.76"
"117","ID01","ID01_Session02","Left mouse button pressed",185373,94,"20","65","806.49","2187.18"
"118","ID01","ID01_Session02","Left mouse button pressed",187983,156,"86","628","566.86","1500.11"
"119","ID01","ID01_Session02","Left mouse button pressed",205311,78,"577","792","304.38","337.25"
"120","ID01","ID01_Session02","Left mouse button pressed",225826,328,"531","510","285.73","1927.24"
"121","ID01","ID01_Session02","Left mouse button pressed",226561,78,"658","532","56.52","59.48"
"122","ID01","ID01_Session02","Left mouse button pressed",230326,641,"506","485","159.10","265.46"
"123","ID01","ID01_Session02","Left mouse button pressed",231217,78,"576","501","11.40","14.24"
"124","ID01","ID01_Session02","Left mouse button pressed",249701,109,"327","511","228.12","1309.55"
"125","ID01","ID01_Session02","Left mouse button pressed",250904,531,"328","511","1.00","1.00"
"126","ID01","ID01_Session02","Left mouse button pressed",251654,110,"381","527","11.18","11.89"
"127","ID01","ID01_Session02","Left mouse button pressed",281685,94,"544","613","184.30","333.39"
"128","ID01","ID01_Session02","Left mouse button pressed",338154,1640,"436","585","91.71","124.96"
"129","ID01","ID01_Session02","Left mouse button pressed",339997,94,"700","588","0.00","0.00"
"130","ID01","ID01_Session02","Left mouse button pressed",462981,125,"16","67","618.44","1206.41"
"131","ID01","ID01_Session02","Left mouse button pressed",468856,109,"510","830","908.96","1749.29"
"132","ID01","ID01_Session02","Left mouse button pressed",469575,109,"516","776","54.33","55.20"
"133","ID01","ID01_Session02","Left mouse button pressed",475981,500,"618","452","339.68","1871.18"
"134","ID01","ID01_Session02","Left mouse button pressed",476668,63,"733","478","24.19","25.24"
"135","ID01","ID01_Session02","Left mouse button pressed",477887,672,"494","478","239.00","255.90"
"136","ID01","ID01_Session02","Left mouse button pressed",478731,94,"697","489","2.24","3.00"
"137","ID01","ID01_Session02","Left mouse button pressed",480481,719,"477","510","221.00","276.10"
"138","ID01","ID01_Session02","Left mouse button pressed",481340,125,"615","527","1.41","3.41"
"139","ID01","ID01_Session02","Left mouse button pressed",576308,94,"704","490","96.38","5730.67"
"140","ID01","ID01_Session02","Left mouse button pressed",576761,79,"626","520","83.57","87.90"
"141","ID01","ID01_Session02","Left mouse button pressed",577402,391,"531","551","99.93","106.08"
"142","ID01","ID01_Session02","Left mouse button pressed",577980,63,"702","586","91.55","93.50"
"143","ID01","ID01_Session02","Left mouse button pressed",581746,547,"472","594","230.14","273.14"
"144","ID01","ID01_Session02","Left mouse button pressed",582418,93,"620","615","32.70","33.58"
"145","ID01","ID01_Session02","Left mouse button pressed",583246,515,"458","608","162.15","164.34"
"146","ID01","ID01_Session02","Left mouse button pressed",583949,94,"546","610","17.03","18.00"
"147","ID01","ID01_Session02","Left mouse button pressed",584371,515,"564","610","18.00","22.00"
"148","ID01","ID01_Session02","Left mouse button pressed",585058,110,"681","610","0.00","0.00"
"149","ID01","ID01_Session02","Left mouse button pressed",586402,484,"344","620","337.15","463.02"
"150","ID01","ID01_Session02","Left mouse button pressed",587058,78,"514","624","27.29","28.38"
"151","ID01","ID01_Session02","Left mouse button pressed",587933,797,"435","626","79.03","94.29"
"152","ID01","ID01_Session02","Left mouse button pressed",588902,78,"691","630","3.00","3.00"
"153","ID01","ID01_Session02","Left mouse button pressed",599433,203,"640","532","76.66","675.23"
"154","ID01","ID01_Session02","Left mouse button pressed",605855,2156,"355","564","288.78","339.15"
"155","ID01","ID01_Session02","Left mouse button pressed",609121,109,"352","585","378.30","390.76"
"156","ID01","ID01_Session02","Left mouse button pressed",633511,516,"433","601","82.57","221.69"
"157","ID01","ID01_Session02","Left mouse button pressed",634245,94,"579","604","23.09","23.83"
"158","ID01","ID01_Session02","Left mouse button pressed",677714,219,"684","527","117.00","506.36"
"159","ID01","ID01_Session02","Left mouse button pressed",678605,218,"437","540","248.29","253.74"
"160","ID01","ID01_Session02","Left mouse button pressed",679151,110,"503","552","49.73","53.49"
"161","ID01","ID01_Session02","Left mouse button pressed",825713,109,"284","621","297.42","731.02"
"162","ID01","ID01_Session02","Left mouse button pressed",829479,109,"20","63","509.90","619.51"
"163","ID01","ID01_Session02","Left mouse button pressed",831369,110,"82","472","413.67","1035.48"
"164","ID01","ID01_Session02","Left mouse button pressed",834041,78,"642","634","517.44","655.99"
"165","ID01","ID01_Session02","Left mouse button pressed",835900,79,"628","627","15.65","17.89"
"166","ID01","ID01_Session02","Left mouse button pressed",841916,828,"166","376","525.78","1127.07"
"167","ID01","ID01_Session02","Left mouse button pressed",843041,78,"354","373","0.00","0.00"
"168","ID01","ID01_Session02","Left mouse button pressed",860166,109,"252","545","199.97","404.74"
"169","ID01","ID01_Session02","Left mouse button pressed",861213,390,"219","521","40.80","109.72"
"170","ID01","ID01_Session02","Left mouse button pressed",861806,79,"307","599","45.01","45.08"
"171","ID01","ID01_Session02","Left mouse button pressed",876010,140,"24","52","695.44","825.96"
"172","ID01","ID01_Session02","Left mouse button pressed",880556,125,"106","600","554.10","1319.84"
"173","ID01","ID01_Session02","Left mouse button pressed",882322,94,"719","738","59.21","212.69"
"174","ID01","ID01_Session02","Left mouse button pressed",893338,171,"104","645","621.99","1044.17"
"175","ID01","ID01_Session02","Left mouse button pressed",909150,109,"157","611","123.49","266.20"
"176","ID01","ID01_Session02","Left mouse button pressed",912806,141,"8","50","580.45","1593.20"
"177","ID01","ID01_Session02","Left mouse button pressed",918197,94,"498","633","761.57","1818.45"
"178","ID01","ID01_Session02","Left mouse button pressed",947181,469,"364","323","337.72","1374.28"
"179","ID01","ID01_Session02","Left mouse button pressed",949072,62,"571","554","228.00","755.65"
"180","ID01","ID01_Session02","Left mouse button pressed",1057383,94,"884","357","329.36","1938.21"
"181","ID01","ID01_Session02","Left mouse button pressed",1061071,94,"481","107","474.25","513.29"
"182","ID01","ID01_Session02","Left mouse button pressed",1061852,94,"483","119","12.17","14.83"
"183","ID01","ID01_Session02","Left mouse button pressed",1068836,110,"620","436","345.34","1913.46"
"184","ID01","ID01_Session02","Left mouse button pressed",1328772,78,"35","578","580.13","701.16"
"185","ID01","ID01_Session02","Left mouse button pressed",1400491,78,"28","59","455.01","891.21"
"186","ID01","ID01_Session02","Left mouse button pressed",1403069,109,"99","466","413.15","1489.11"
"187","ID01","ID01_Session02","Left mouse button pressed",1408147,125,"529","523","433.76","1477.45"
"188","ID01","ID01_Session02","Left mouse button pressed",1412037,110,"566","509","39.56","67.48"
"189","ID01","ID01_Session02","Left mouse button pressed",1423084,94,"243","788","426.81","2587.32"
"190","ID01","ID01_Session02","Left mouse button pressed",1427147,93,"277","780","34.93","262.91"
"191","ID01","ID01_Session02","Left mouse button pressed",1432881,62,"319","790","43.17","225.36"
"192","ID01","ID01_Session02","Left mouse button pressed",1435959,109,"355","791","36.01","95.96"
"193","ID01","ID01_Session02","Left mouse button pressed",1440115,63,"409","785","54.33","121.00"
"194","ID01","ID01_Session02","Left mouse button pressed",1443443,94,"442","785","33.00","62.47"
"195","ID01","ID01_Session02","Left mouse button pressed",1446006,109,"488","793","46.69","53.13"
"196","ID01","ID01_Session02","Left mouse button pressed",1448443,94,"518","794","30.02","42.51"
"197","ID01","ID01_Session02","Left mouse button pressed",1450287,78,"557","785","40.02","49.66"
"198","ID01","ID01_Session02","Left mouse button pressed",1453240,141,"42","699","522.13","531.61"
"199","ID01","ID01_Session02","Left mouse button pressed",1554302,125,"417","791","342.44","806.10"
"200","ID01","ID01_Session02","Left mouse button pressed",1557599,391,"504","784","87.28","491.89"
"201","ID01","ID01_Session02","Left mouse button pressed",1558208,78,"584","786","8.54","9.65"
"202","ID01","ID01_Session02","Left mouse button pressed",1567427,94,"210","441","412.17","1006.09"
"203","ID01","ID01_Session02","Left mouse button pressed",1570099,78,"237","680","219.66","263.27"
"204","ID01","ID01_Session02","Left mouse button pressed",1573474,125,"268","678","31.06","161.56"
"205","ID01","ID01_Session02","Left mouse button pressed",1575224,94,"322","675","54.08","90.41"
"206","ID01","ID01_Session02","Left mouse button pressed",1577943,125,"360","673","38.05","38.83"
"207","ID01","ID01_Session02","Left mouse button pressed",1580005,63,"401","672","41.01","46.00"
"208","ID01","ID01_Session02","Left mouse button pressed",1581536,110,"442","678","41.44","41.79"
"209","ID01","ID01_Session02","Left mouse button pressed",1583114,63,"504","680","62.03","73.36"
"210","ID01","ID01_Session02","Left mouse button pressed",1583677,78,"481","678","23.09","24.41"
"211","ID01","ID01_Session02","Left mouse button pressed",1584833,78,"522","679","41.01","47.12"
"212","ID01","ID01_Session02","Left mouse button pressed",1585317,47,"564","680","42.01","42.16"
"213","ID01","ID01_Session02","Left mouse button pressed",1588114,157,"73","746","495.42","549.56"
"214","ID01","ID01_Session02","Left mouse button pressed",1589114,125,"24","50","697.72","910.01"
"215","ID01","ID01_Session02","Left mouse button pressed",1591786,125,"84","465","419.31","659.05"
"216","ID01","ID01_Session02","Left mouse button pressed",1601427,109,"1189","436","1105.38","1203.26"
"217","ID01","ID01_Session02","Left mouse button pressed",1633192,110,"1203","511","937.01","2102.51"
