userID,sessionID,actionTakenNumeric,durationMSEC,timelineMSEC,idleTime
ID01,ID01_Session03,0,125,1060886,0
ID01,ID01_Session03,0,94,1070354,9343
ID01,ID01_Session03,0,63,1073276,2828
ID01,ID01_Session03,0,94,1073604,265
ID01,ID01_Session03,0,94,1076307,2609
ID01,ID01_Session03,1,39639,1187540,111139
ID01,ID01_Session03,1,2781,1284397,57218
ID01,ID01_Session03,0,62,1304444,17266
ID01,ID01_Session03,0,516,1310131,5625
ID01,ID01_Session03,0,78,1310928,281
ID01,ID01_Session03,1,27796,1319381,8375
ID01,ID01_Session03,1,56046,1351130,3953
ID01,ID01_Session03,1,13250,1407410,234
ID01,ID01_Session03,0,156,1420660,0
ID01,ID01_Session03,1,12578,1427894,7078
ID01,ID01_Session03,0,110,1440472,0
ID01,ID01_Session03,0,109,1468331,27749
ID01,ID01_Session03,1,58187,1468987,547
ID01,ID01_Session03,0,110,1528392,1218
ID01,ID01_Session03,0,78,1534174,5672
ID01,ID01_Session03,1,48312,1538861,4609
ID01,ID01_Session03,0,109,1610469,23296
ID01,ID01_Session03,0,93,1613235,2657
ID01,ID01_Session03,0,62,1614094,766
ID01,ID01_Session03,0,94,1615672,1516
ID01,ID01_Session03,1,8453,1616516,750
ID01,ID01_Session03,0,62,1624969,0
ID01,ID01_Session03,1,359,1646812,21781
ID01,ID01_Session03,0,110,1647843,672
ID01,ID01_Session03,1,27343,1657390,9437
ID01,ID01_Session03,0,78,1684733,0
ID01,ID01_Session03,0,125,1692514,7703
ID01,ID01_Session03,1,5765,1695624,2985
ID01,ID01_Session03,0,735,1701389,0
ID01,ID01_Session03,0,46,1702327,203
ID01,ID01_Session03,0,78,1728154,25781
ID01,ID01_Session03,1,34734,1732435,4203
ID01,ID01_Session04,0,109,1125,969
ID01,ID01_Session04,1,5233,2015,781
ID01,ID01_Session04,0,141,7248,0
ID01,ID01_Session04,1,7107,11685,4296
ID01,ID01_Session04,0,172,18792,0
ID01,ID01_Session04,1,25868,29352,10388
ID01,ID01_Session04,0,203,55220,0
ID01,ID01_Session04,1,624,61078,5655
ID01,ID01_Session04,0,641,64389,2687
ID01,ID01_Session04,0,125,65217,187
ID01,ID01_Session04,0,485,70481,5139
ID01,ID01_Session04,0,156,71387,421
ID01,ID01_Session04,1,24650,73855,2312
ID01,ID01_Session04,0,749,103957,5452
ID01,ID01_Session04,0,140,104863,157
ID01,ID01_Session04,1,10950,110736,5733
ID01,ID01_Session04,1,50851,130824,9138
ID01,ID01_Session04,0,1109,186956,5281
ID01,ID01_Session04,0,125,188237,172
ID01,ID01_Session04,1,27872,201064,12702
ID01,ID01_Session04,0,125,228936,0
ID01,ID01_Session04,1,4547,237122,8061
ID01,ID01_Session04,1,15905,285758,44089
ID01,ID01_Session04,1,10124,318926,17263
ID01,ID01_Session04,0,125,329050,0
ID01,ID01_Session04,0,172,369249,40074
ID01,ID01_Session04,0,172,373718,4297
ID01,ID01_Session04,1,10280,374374,484
ID01,ID01_Session04,0,156,384654,0
ID01,ID01_Session04,0,156,395341,10531
ID01,ID01_Session04,1,20763,400887,5390
ID01,ID01_Session04,1,37904,443742,22092
ID01,ID01_Session04,0,172,483911,2265
ID01,ID01_Session04,1,36326,505317,21234
ID01,ID01_Session04,1,19999,542112,469
ID01,ID01_Session04,0,172,571017,8906
ID01,ID01_Session04,1,6109,573126,1937
ID01,ID01_Session04,0,110,579235,0
ID01,ID01_Session04,0,110,581719,2374
ID01,ID01_Session04,0,109,600453,18624
ID01,ID01_Session04,1,3016,603843,3281
ID01,ID01_Session04,0,125,606859,0
ID01,ID01_Session04,0,141,609046,2062
ID01,ID01_Session04,1,3360,609624,437
ID01,ID01_Session04,0,125,612984,0
ID01,ID01_Session04,0,125,613718,609
ID01,ID01_Session04,0,109,614156,313
ID01,ID01_Session04,0,157,621233,6968
ID01,ID01_Session04,0,125,645404,24014
ID01,ID01_Session04,0,141,698261,52732
ID01,ID01_Session04,1,55576,726057,27655
ID01,ID01_Session04,1,11687,794164,12531
ID01,ID01_Session04,0,157,805851,0
ID01,ID01_Session04,0,125,819226,13218
ID01,ID01_Session04,2,2250,840601,21250
ID01,ID01_Session04,0,94,1290829,0
ID01,ID01_Session04,0,172,1293751,2828
ID01,ID01_Session04,1,13765,1300923,7000
ID01,ID01_Session04,0,141,1314688,0
ID01,ID01_Session04,1,2860,1318766,3937
ID01,ID01_Session04,0,844,1325141,3515
ID01,ID01_Session04,0,156,1326266,281
ID01,ID01_Session04,1,23219,1453061,126639
ID01,ID01_Session04,0,125,1476280,0
ID01,ID01_Session04,0,156,1481936,5531
ID01,ID01_Session04,0,172,1484264,2172
ID01,ID01_Session04,1,6265,1488577,4141
ID01,ID01_Session04,0,141,1494842,0
ID01,ID01_Session04,0,734,1501327,6344
ID01,ID01_Session04,0,93,1502202,141
ID01,ID01_Session04,1,58469,1503170,875
ID01,ID01_Session04,1,49171,1572467,10828
ID01,ID01_Session04,1,38922,1627482,5844
ID01,ID01_Session04,0,765,1666404,0
ID01,ID01_Session04,0,156,1667357,188
ID01,ID01_Session04,0,719,1668325,812
ID01,ID01_Session04,0,140,1669232,188
ID01,ID01_Session04,0,156,1670044,672
ID01,ID01_Session04,0,563,1671169,969
ID01,ID01_Session04,0,125,1671888,156
ID01,ID01_Session04,0,1407,1673325,1312
ID01,ID01_Session04,0,141,1674888,156
ID01,ID01_Session04,1,54094,1687544,12515
ID01,ID01_Session04,1,1828,1742669,1031
ID01,ID01_Session04,0,94,1744497,0
ID01,ID01_Session04,1,28828,1745075,484
ID01,ID01_Session04,1,18828,1773919,16
ID01,ID01_Session04,0,125,1792747,0
ID01,ID01_Session04,1,5781,1795872,3000
ID01,ID01_Session04,0,140,1803950,2297
ID01,ID01_Session04,1,2906,1816903,12813
ID01,ID01_Session04,0,125,1819809,0
ID01,ID01_Session04,2,19156,1921418,101484
ID01,ID01_Session05,0,1266,0,2234
ID01,ID01_Session05,0,2203,3594,2328
ID01,ID01_Session05,0,328,35813,30016
ID01,ID01_Session05,0,140,36204,63
ID01,ID01_Session05,0,141,38219,1875
ID01,ID01_Session05,0,156,39938,1578
ID01,ID01_Session05,1,4797,40923,829
ID01,ID01_Session05,0,109,45720,0
ID01,ID01_Session05,1,2250,50688,4859
ID01,ID01_Session05,0,203,52938,0
ID01,ID01_Session05,1,12234,53595,454
ID01,ID01_Session05,0,156,65829,0
ID01,ID01_Session05,0,141,100110,34125
ID01,ID01_Session05,0,125,120533,20282
ID01,ID01_Session05,1,9859,121564,906
ID01,ID01_Session05,0,110,131423,0
ID01,ID01_Session05,0,891,147017,15484
ID01,ID01_Session05,0,234,148267,359
ID01,ID01_Session05,0,1157,157626,9125
ID01,ID01_Session05,0,93,158908,125
ID01,ID01_Session05,1,1125,169439,10438
ID01,ID01_Session05,0,594,170564,0
ID01,ID01_Session05,0,94,171283,125
ID01,ID01_Session05,1,7734,177580,6203
ID01,ID01_Session05,0,110,185314,0
ID01,ID01_Session05,0,0,185486,62
ID01,ID01_Session05,0,63,186111,531
ID01,ID01_Session05,1,18187,215674,29500
ID01,ID01_Session05,1,30766,276627,42766
ID01,ID01_Session05,0,203,307393,0
ID01,ID01_Session05,0,125,308596,1000
ID01,ID01_Session05,1,10516,309440,719
ID01,ID01_Session05,1,31906,348050,28094
ID01,ID01_Session05,1,21344,414909,34953
ID01,ID01_Session05,0,157,436253,0
ID01,ID01_Session05,0,125,440613,4203
ID01,ID01_Session05,1,13375,474300,33562
ID01,ID01_Session05,0,188,487675,0
ID01,ID01_Session05,0,140,496301,8438
ID01,ID01_Session05,1,1781,498176,1735
ID01,ID01_Session05,1,5547,502222,2265
ID01,ID01_Session05,0,125,507769,0
ID01,ID01_Session05,0,109,508379,485
ID01,ID01_Session05,0,109,510004,1516
ID01,ID01_Session05,1,8766,515863,5750
ID01,ID01_Session05,0,156,524629,0
ID01,ID01_Session05,0,1141,527457,2672
ID01,ID01_Session05,0,156,529988,1390
ID01,ID01_Session05,0,110,531238,1094
ID01,ID01_Session05,0,125,560410,29062
ID01,ID01_Session05,0,93,567520,6985
ID01,ID01_Session05,1,9500,568676,1063
ID01,ID01_Session05,0,109,578176,0
ID01,ID01_Session05,0,141,609848,31563
ID01,ID01_Session05,1,8985,610973,984
ID01,ID01_Session05,0,172,630520,10562
ID01,ID01_Session05,1,14750,631676,984
ID01,ID01_Session05,0,110,646426,0
ID01,ID01_Session05,1,33000,646958,422
ID01,ID01_Session05,0,78,681349,1391
ID01,ID01_Session05,1,1797,681583,156
ID01,ID01_Session05,0,359,683380,0
ID01,ID01_Session05,0,110,683864,125
ID01,ID01_Session05,0,156,692177,8203
ID01,ID01_Session05,2,1578,736755,44422
ID01,ID01_Session05,1,19032,863240,9172
ID01,ID01_Session05,0,109,882272,0
ID01,ID01_Session05,1,16734,903225,20844
ID01,ID01_Session05,1,45314,934647,14688
ID01,ID01_Session05,0,140,1090164,110203
ID01,ID01_Session05,1,9361,1090617,313
ID01,ID01_Session05,1,1813,1108729,8751
ID01,ID01_Session05,0,140,1110542,0
ID01,ID01_Session05,0,187,1118668,7986
ID01,ID01_Session05,1,40459,1119527,672
ID01,ID01_Session05,0,141,1170112,10126
ID01,ID01_Session05,0,125,1177519,7266
ID01,ID01_Session05,0,203,1182411,4767
ID01,ID01_Session05,0,1281,1184005,1391
ID01,ID01_Session05,0,94,1185442,156
ID01,ID01_Session05,0,47,1186989,1453
ID01,ID01_Session05,0,109,1190912,3876
ID01,ID01_Session05,0,0,1191099,78
ID01,ID01_Session05,0,547,1204898,13721
ID01,ID01_Session05,0,125,1205617,172
ID01,ID01_Session05,0,141,1213305,7563
