userID,sessionID,actionTakenNumeric,durationMSEC,timelineMSEC,idleTime,X,Y,reldist,totaldist
ID01,ID01_Session02,0,94,576308,94843,704,490,96.38,5730.67
ID01,ID01_Session02,0,79,576761,359,626,520,83.57,87.90
ID01,ID01_Session02,0,391,577402,562,531,551,99.93,106.08
ID01,ID01_Session02,0,63,577980,187,702,586,91.55,93.50
ID01,ID01_Session02,0,547,581746,3703,472,594,230.14,273.14
ID01,ID01_Session02,0,93,582418,125,620,615,32.70,33.58
ID01,ID01_Session02,0,515,583246,735,458,608,162.15,164.34
ID01,ID01_Session02,0,94,583949,188,546,610,17.03,18.00
ID01,ID01_Session02,0,515,584371,328,564,610,18.00,22.00
ID01,ID01_Session02,0,110,585058,172,681,610,0.00,0.00
ID01,ID01_Session02,0,484,586402,1234,344,620,337.15,463.02
ID01,ID01_Session02,0,78,587058,172,514,624,27.29,28.38
ID01,ID01_Session02,0,797,587933,797,435,626,79.03,94.29
ID01,ID01_Session02,0,78,588902,172,691,630,3.00,3.00
ID01,ID01_Session02,1,9984,589449,469,658,609,39.12,42.98
ID01,ID01_Session02,0,203,599433,0,640,532,76.66,675.23
ID01,ID01_Session02,0,2156,605855,6219,355,564,288.78,339.15
ID01,ID01_Session02,0,109,609121,1110,352,585,378.30,390.76
ID01,ID01_Session02,0,516,633511,24281,433,601,82.57,221.69
ID01,ID01_Session02,0,94,634245,218,579,604,23.09,23.83
ID01,ID01_Session02,1,42453,635261,922,580,537,67.01,67.41
ID01,ID01_Session02,0,219,677714,0,684,527,117.00,506.36
ID01,ID01_Session02,0,218,678605,672,437,540,248.29,253.74
ID01,ID01_Session02,0,110,679151,328,503,552,49.73,53.49
ID01,ID01_Session02,1,9249,679980,719,574,555,71.06,71.36
ID01,ID01_Session02,0,109,825713,136484,284,621,297.42,731.02
ID01,ID01_Session02,1,3032,826447,625,284,590,31.00,35.31
ID01,ID01_Session02,0,109,829479,0,20,63,509.90,619.51
ID01,ID01_Session02,0,110,831369,1781,82,472,413.67,1035.48
ID01,ID01_Session02,1,2016,832025,546,137,488,57.28,65.17
ID01,ID01_Session02,0,78,834041,0,642,634,517.44,655.99
ID01,ID01_Session02,0,79,835900,1781,628,627,15.65,17.89
ID01,ID01_Session02,0,828,841916,5937,166,376,525.78,1127.07
ID01,ID01_Session02,0,78,843041,297,354,373,0.00,0.00
ID01,ID01_Session02,0,109,860166,17047,252,545,199.97,404.74
ID01,ID01_Session02,0,390,861213,938,219,521,40.80,109.72
ID01,ID01_Session02,0,79,861806,203,307,599,45.01,45.08
ID01,ID01_Session02,1,6656,862572,687,287,694,97.08,115.22
ID01,ID01_Session02,1,6297,869713,485,280,699,2.00,2.00
ID01,ID01_Session02,0,140,876010,0,24,52,695.44,825.96
ID01,ID01_Session02,0,125,880556,4406,106,600,554.10,1319.84
ID01,ID01_Session02,1,1109,881213,532,180,605,74.17,90.94
ID01,ID01_Session02,0,94,882322,0,719,738,59.21,212.69
ID01,ID01_Session02,0,171,893338,10922,104,645,621.99,1044.17
ID01,ID01_Session02,1,15219,893931,422,159,665,58.52,68.02
ID01,ID01_Session02,0,109,909150,0,157,611,123.49,266.20
ID01,ID01_Session02,0,141,912806,3547,8,50,580.45,1593.20
ID01,ID01_Session02,0,94,918197,5250,498,633,761.57,1818.45
ID01,ID01_Session02,0,469,947181,28890,364,323,337.72,1374.28
ID01,ID01_Session02,0,62,949072,1422,571,554,228.00,755.65
ID01,ID01_Session02,1,39594,949634,500,602,507,55.22,68.93
ID01,ID01_Session02,0,94,1057383,68155,884,357,329.36,1938.21
ID01,ID01_Session02,0,94,1061071,3594,481,107,474.25,513.29
ID01,ID01_Session02,0,94,1061852,687,483,119,12.17,14.83
ID01,ID01_Session02,0,110,1068836,6890,620,436,345.34,1913.46
