Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info,Testing
2010:02:01,13:54:49,010,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button pressed,990,547,268.11,575.56,0.47, 
2010:02:01,13:54:49,135,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button released,990,547,0.00,0.00,0.00, 
2010:02:01,13:54:52,338,"firefox.exe","Teen chained for years before...h | WOOD TV8 - Mozilla Firefox",Mouse wheel,914,645,124.02,145.46,0.85, 
2010:02:01,13:55:00,978,"Explorer.EXE","1:54 PM",Mouse wheel stopped,1025,500,0.00,0.00,1.00,2 Wheel actions
2010:02:01,13:55:35,383,"firefox.exe","Teen chained for years before...h | WOOD TV8 - Mozilla Firefox",Mouse wheel,845,716,99.01,6254.76,0.02, 
2010:02:01,13:56:00,976,"Explorer.EXE","1:55 PM",Mouse wheel stopped,856,728,0.00,0.00,1.00,3 Wheel actions
2010:02:01,13:56:09,476,"firefox.exe","Teen chained for years before...h | WOOD TV8 - Mozilla Firefox",Mouse wheel,969,776,129.19,523.90,0.25, 
2010:02:01,13:57:00,974,"Explorer.EXE","1:56 PM",Mouse wheel stopped,985,676,0.00,0.00,1.00,11 Wheel actions
2010:02:01,13:57:16,973,"firefox.exe","Teen chained for years before...h | WOOD TV8 - Mozilla Firefox",Mouse wheel,893,531,578.55,796.04,0.73, 
2010:02:01,13:58:00,972,"Explorer.EXE","1:57 PM",Mouse wheel stopped,846,761,0.00,0.00,1.00,3 Wheel actions
2010:02:01,13:58:17,596,"firefox.exe","Teen chained for years before...h | WOOD TV8 - Mozilla Firefox",Mouse wheel,1167,974,383.30,1802.34,0.21, 
2010:02:01,13:59:00,969,"Explorer.EXE","1:58 PM",Mouse wheel stopped,777,818,0.00,0.00,1.00,33 Wheel actions
2010:02:01,13:59:01,266,"firefox.exe","Teen chained for years before...h | WOOD TV8 - Mozilla Firefox",Mouse wheel,777,818,0.00,0.00,0.00, 
2010:02:01,13:59:18,984,"firefox.exe","Teen chained for years before...h | WOOD TV8 - Mozilla Firefox",Mouse wheel stopped,489,119,0.00,0.00,1.00,26 Wheel actions
2010:02:01,13:59:18,984,"firefox.exe","Teen chained for years before...h | WOOD TV8 - Mozilla Firefox",Left mouse button pressed,489,119,360.76,2122.24,0.17, 
2010:02:01,13:59:19,125,"firefox.exe","Teen chained for years before...h | WOOD TV8 - Mozilla Firefox",Left mouse button released,489,119,0.00,0.00,0.00, 
2010:02:01,13:59:21,468,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Mouse wheel,793,778,725.74,859.40,0.84, 
2010:02:01,13:59:29,437,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Mouse wheel stopped,857,752,0.00,0.00,1.00,1 Wheel actions
2010:02:01,13:59:29,437,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button pressed,857,752,69.08,1068.50,0.06, 
2010:02:01,13:59:30,531,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button released,894,772,42.06,53.71,0.78, 
2010:02:01,13:59:33,015,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button pressed,814,777,80.16,94.02,0.85, 
2010:02:01,13:59:33,124,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button released,814,777,0.00,0.00,0.00, 
2010:02:01,13:59:38,593,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Mouse wheel",Mouse wheel,429,662,401.81,480.00,0.84, 
2010:02:01,14:00:00,967,"Explorer.EXE","1:59 PM",Mouse wheel stopped,428,663,0.00,0.00,1.00,6 Wheel actions
2010:02:01,14:00:08,264,"firefox.exe","Toyota announces gas pedal fix - Feb. 1, 2010 - Mozilla Firefox Mouse wheel",Mouse wheel,411,661,17.12,53.66,0.32, 
